language	training instances validation instances testing instances
ru 	 831 	 894 	 792 	 2,517
en 	 489 	 537 	 529 	 1,555
sq 	 423 	 464 	 415 	 1,302
de 	 279 	 347 	 287 	 913
el 	 240 	 282 	 189 	 711
bg 	 111 	 356 	 222 	 689
es 	 265 	 188 	 149 	 602
uk 	 152 	 241 	 178 	 571
pl 	 174 	 156 	 168 	 498
hu 	 147 	 189 	 157 	 493
tr 	 121 	 171 	 143 	 435
ro 	 110 	 164 	 159 	 433
fr 	 107 	 150 	 125 	 382
bs 	 125 	 112 	 135 	 372
pt 	 113 	 144 	 98 	 355
it 	 102 	 152 	 97 	 351
mk 	 98 	 117 	 97 	 312
sr 	 92 	 91 	 108 	 291
lt 	 93 	 73 	 100 	 266
hr 	 81 	 85 	 66 	 232
vi 	 65 	 86 	 61 	 212
sk 	 68 	 66 	 67 	 201
ar 	 33 	 77 	 57 	 167
cs 	 41 	 74 	 43 	 158
ja 	 47 	 39 	 39 	 125
lv 	 37 	 43 	 43 	 123
et 	 38 	 42 	 13 	 93
sv 	 38 	 24 	 22 	 84
id 	 15 	 21 	 34 	 70
fi 	 19 	 20 	 18 	 57
no 	 15 	 24 	 18 	 57
nl 	 13 	 23 	 16 	 52
az 	 14 	 20 	 14 	 48
da 	 16 	 10 	 20 	 46
sl 	 6 	 20 	 12 	 38
fa 	 4 	 14 	 16 	 34
km 	 8 	 10 	 13 	 31
sw 	 10 	 2 	 7 	 19
be 	 5 	 6 	 3 	 14
ca 	 10 	 2 	 2 	 14
ka 	 4 	 6 	 3 	 13
zh 	 2 	 3 	 8 	 13
he 	 3 	 2 	 3 	 8
ky 	 2 	 6 	 0 	 8
ko 	 3 	 2 	 0 	 5
ku 	 5 	 0 	 0 	 5
lo 	 2 	 0 	 3 	 5
lb 	 1 	 1 	 2 	 4
hi 	 1 	 2 	 0 	 3
th 	 1 	 2 	 0 	 3
gl 	 1 	 1 	 0 	 2
ml 	 1 	 1 	 0 	 2
mn 	 0 	 2 	 0 	 2
bn 	 0 	 0 	 1 	 1
ha 	 0 	 1 	 0 	 1
hy 	 0 	 0 	 1 	 1
pap 	 0 	 0 	 1 	 1
so 	 0 	 0 	 1 	 1

Total: 	 4,681 	 5,565 	 4,755 	 15,001
